Affected Vehicle IDs;Travel Time
310324501;17.0s

344386601;65.0s

307623301;24.0s

237642001;53.0s

309529301;102.0s

189085501;39.0s

324858601;49.0s

349465901;39.0s

433207901;58.0s

364172401;101.0s

245141601;2.0s

346838901;152.0s

308410201;97.0s

367315601;27.0s

366949201;2.0s

319403101;77.0s

272203801;46.0s

261402201;66.0s

406756001;223.0s

450174001;31.0s

236044101;21.0s

314359501;219.0s

317285801;4.0s

408688901;25.0s

369814701;40.0s

340734001;85.0s

237607201;101.0s

416325001;41.0s

226440701;437.0s

255296201;23.0s

44625001;82.0s

423270501;58.0s

82359601;348.0s

186569301;16.0s

258640301;66.0s

424608801;131.0s

190993301;76.0s

271278301;34.0s

343442801;38.0s

326715201;66.0s

15204401;809.0s

390275101;1232.0s

359764301;129.0s

414438901;259.0s

312219501;103.0s

416801301;110.0s

244962301;50.0s

396889901;40.0s

399590401;30.0s

424569401;14.0s

419164701;11.0s

294472801;231.0s

411918401;17.0s

209207001;138.0s

428620501;93.0s

337751501;92.0s

251375501;1129.0s

174430401;27.0s

272270101;213.0s

443987201;7.0s

430954001;358.0s

393226001;28.0s

289264701;89.0s

317557901;45.0s

262226501;332.0s

396317001;9.0s

365355101;1.0s

270314201;9.0s

362941601;35.0s

277952801;6.0s

269745801;43.0s

45160001;20.0s

189038101;26.0s

399620901;62.0s

361166501;3.0s

388712201;82.0s

450004401;8.0s

449321201;70.0s

366256901;281.0s

258067401;662.0s

189658301;6.0s

197542101;25.0s

277488501;3.0s

231929901;20.0s

295017001;10.0s

444928501;15.0s

382629801;7.0s

421375801;66.0s

322447801;117.0s

301767801;58.0s

78015901;150.0s

10495801;556.0s

227534701;68.0s

321824401;46.0s

369164101;19.0s

226213101;85.0s

66457601;2.0s

108397901;120.0s

325291401;51.0s

117586201;276.0s

259863201;59.0s

297095001;7.0s

384619101;8.0s

360163201;36.0s

105349301;150.0s

95135801;567.0s

251688801;89.0s

95165701;162.0s

